Hospital Name,Doctor Name,Specialization,Contact Number,Area,City,OPD Timings,Rating,Beds Available
Ruby Hall Clinic,Dr. Anjali Deshmukh,Cardiologist,9823012345,Baner,Pune,9 AM - 2 PM,4.7,56
Aditya Birla Hospital,Dr. Rajesh Patil,Orthopedic Surgeon,9765432100,Pimpri,Pimpri-Chinchwad,10 AM - 3 PM,4.5,60
Sahyadri Hospital,Dr. Kavita Joshi,Pediatrician,9856123456,Aundh,Pune,8 AM - 1 PM,4.6,48
Manipal Hospital,Dr. Amol Kale,Neurologist,9923456781,Nigdi,Pimpri-Chinchwad,11 AM - 4 PM,4.3,70
Jehangir Hospital,Dr. Sneha Pawar,Gynecologist,9876543210,Kharadi,Pune,10 AM - 2 PM,4.8,52
Noble Hospital,Dr. Sandeep Kulkarni,Dermatologist,9812345678,Hadapsar,Pune,9 AM - 1 PM,4.2,40
Deenanath Mangeshkar Hospital,Dr. Neha Rane,ENT Specialist,9834567890,Karve Road,Pune,8 AM - 12 PM,4.4,35
Columbia Asia Hospital,Dr. Vikram Thakur,Urologist,9845123789,Ravet,Pimpri-Chinchwad,10 AM - 3 PM,4.5,60
Inamdar Hospital,Dr. Priya Dixit,Oncologist,9801234567,Bhosari,Pimpri-Chinchwad,9 AM - 2 PM,4.6,58
Lokmanya Hospital,Dr. Ashok Shinde,General Physician,9823764512,Sinhagad Road,Pune,8 AM - 12 PM,4.1,50
Ruby Hall Clinic,Dr. Meera Bhide,Cardiologist,9827654321,Erandwane,Pune,10 AM - 2 PM,4.7,62
Aditya Birla Hospital,Dr. Sanjay Jagtap,Orthopedic Surgeon,9876123450,Chinchwad,Pimpri-Chinchwad,9 AM - 1 PM,4.6,44
Sahyadri Hospital,Dr. Rutuja Naik,Pediatrician,9765012345,Bund Garden,Pune,11 AM - 4 PM,4.3,38
Manipal Hospital,Dr. Nitin More,Neurologist,9820987654,Thergaon,Pimpri-Chinchwad,10 AM - 3 PM,4.4,72
Jehangir Hospital,Dr. Anuja Mehta,Gynecologist,9843098765,Akurdi,Pimpri-Chinchwad,9 AM - 2 PM,4.5,49
Noble Hospital,Dr. Mahesh Pawaskar,Dermatologist,9798012345,Hadapsar,Pune,8 AM - 12 PM,4.3,41
Deenanath Mangeshkar Hospital,Dr. Reema Gokhale,ENT Specialist,9832456781,Karve Road,Pune,9 AM - 1 PM,4.2,36
Columbia Asia Hospital,Dr. Tushar Vaidya,Urologist,9811223344,Chikhali,Pimpri-Chinchwad,11 AM - 4 PM,4.4,55
Inamdar Hospital,Dr. Sheetal Chavan,Oncologist,9856123488,Dapodi,Pimpri-Chinchwad,10 AM - 3 PM,4.7,47
Lokmanya Hospital,Dr. Kiran Salunkhe,General Physician,9823345671,Baner,Pune,9 AM - 2 PM,4.1,42
Ruby Hall Clinic,Dr. Vaibhav Gokhale,Cardiologist,9825678901,Shivaji Nagar,Pune,8 AM - 12 PM,4.6,63
Aditya Birla Hospital,Dr. Ramesh Deshpande,Orthopedic Surgeon,9798123456,Wakad,Pimpri-Chinchwad,9 AM - 2 PM,4.4,50
Sahyadri Hospital,Dr. Swati Patil,Pediatrician,9898765432,Pashan,Pune,10 AM - 3 PM,4.5,65
Manipal Hospital,Dr. Umesh Ghorpade,Neurologist,9911223344,Pimple Saudagar,Pimpri-Chinchwad,11 AM - 4 PM,4.3,58
